External ID,Date,Product/Internal Reference,Quantity Done,Source Location/Display Name,Destination Location/Display Name
__export__.stock_move_1232712_55fbe914,2021-12-01 14:52:32,AMP-B199,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232714_c920dfc4,2021-12-01 14:52:32,AMP-B017,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232716_a2d10569,2021-12-01 14:52:32,AMP-B125,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232718_d45c23f1,2021-12-01 14:52:32,AMP-B002,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232720_2cf9e334,2021-12-01 14:52:32,AMP-B051,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232722_104f4596,2021-12-01 14:52:32,AMP-B016,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232725_af2ae88a,2021-12-01 14:52:32,AMP-B078,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232728_342e0b52,2021-12-01 14:52:32,AMP-X024,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232730_4176eb88,2021-12-01 14:52:32,AMP-B003,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232732_3c06ca81,2021-12-01 14:52:32,AMP-X021,3,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232734_847fea82,2021-12-01 14:52:32,AMP-RV10K,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232736_8d8eac6a,2021-12-01 14:52:32,AMP-W007,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232738_80822aa3,2021-12-01 14:52:32,AMP-W005,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232740_68ef9290,2021-12-01 14:52:32,AMP-B146,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232742_ad4bec52,2021-12-01 14:52:32,AMP-W001,10,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232744_2d2ff76c,2021-12-01 14:52:32,AMP-B143,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232724_0b675a2d,2021-12-07 08:47:15,AMP-S026,11,SS/Output,Partner Locations/Customers
__export__.stock_move_1232746_06aedbda,2021-12-14 14:15:12,AMP-S042,1,OF/Stock,Partner Locations/Customers
__export__.stock_move_1232786_9254e56e,2021-12-01 14:53:28,AMP-X219,10,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232788_4e0aadd5,2021-12-01 14:53:28,AMP-B058,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232790_f00b398c,2021-12-01 14:53:28,AMP-X121,6,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232839_61f45f39,2021-12-06 15:53:39,AMP-S060,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232879_7eee4457,2021-12-03 14:41:38,AMP-S056,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232881_7ec7f34c,2021-12-03 14:41:38,AMP-S042,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232933_24fd196b,2021-12-02 13:05:35,AMP-P003,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232935_ba4dbb41,2021-12-02 13:05:35,AMP-X627,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232937_9ece0c57,2021-12-02 13:05:35,AMP-X580,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232939_cfcb957e,2021-12-02 13:05:35,AMP-X588,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232941_7f075aed,2021-12-02 13:05:35,AMP-X585,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232943_e43cd3db,2021-12-02 13:05:35,AMP-X586,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232945_62e24527,2021-12-02 13:05:35,AMP-X583,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232947_23515fd8,2021-12-02 13:05:35,AMP-X571,2,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232951_f3958a51,2021-12-02 15:22:11,AMP-E038-RU,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232977_2814ef89,2021-12-01 15:04:14,DFR0330,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232979_cd94982d,2021-12-01 15:04:14,AMP-S061,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232981_d0b127aa,2021-12-01 15:04:19,AMP-X350,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232983_77aa93da,2021-12-01 15:04:27,AMP-V16239,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232991_0cbbbda7,2021-12-01 15:04:32,AMP-V16642,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233001_5bd36c00,2021-12-01 12:53:14,NOO-L011,3,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233003_5602fa9e,2021-12-01 12:53:14,NOO-L004,2,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233011_ce5c30a8,2021-12-09 15:51:52,A000067,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233013_08543036,2021-12-09 15:51:52,AMP-X414,4,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233015_d2b4ac5e,2021-12-09 15:51:52,DEV-14057,4,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233051_05045c76,2021-12-01 15:04:42,AMP-X564,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233079_1d0d2b18,2021-12-01 15:04:50,AMP-B017,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233081_a1fd49ff,2021-12-01 15:04:50,AMP-B125,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233083_e1733efd,2021-12-01 15:04:50,AMP-B094,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233117_8bcf2c48,2021-12-01 15:04:57,AMP-S060,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233136_dfbc1c95,2021-12-01 15:05:04,AMP-S060,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1233138_0f2c9d7f,2021-12-01 15:05:13,AMP-S052,1,AMPRU/Output,Partner Locations/Customers
